***small example from ESPaDOnS LibreEsprit format
  47824 5
  486.6995  8.8056e-01 -4.0333e-04  6.1847e-04 -1.5751e-03  1.5737e-03
  486.7027  8.8981e-01  2.2225e-03 -1.8426e-03  2.4493e-03  1.5789e-03
  486.7060  9.0555e-01  3.8932e-04  7.4397e-04 -2.0726e-04  1.5336e-03
  486.7092  9.0849e-01 -1.0176e-03 -5.0561e-04  1.5647e-03  1.5865e-03
  486.7124  9.0044e-01  1.8628e-03  7.8835e-05  1.9899e-03  1.5874e-03
  486.7156  8.8919e-01  6.2549e-04  9.8825e-04  1.6866e-03  1.5212e-03
  486.7189  8.8579e-01 -7.9957e-04  1.8384e-03 -1.3836e-03  1.5553e-03
  486.7221  9.0117e-01 -1.1264e-03  1.0764e-03 -1.1088e-04  1.5824e-03
  486.7253  9.1492e-01 -3.1979e-04 -5.8339e-04 -2.3218e-03  1.5559e-03
  486.7285  9.1607e-01 -1.2922e-03  1.2284e-03  1.6165e-04  1.5584e-03
  486.7318  9.1774e-01 -4.4064e-04  2.5846e-03  7.6512e-04  1.5975e-03
  486.7350  9.2279e-01  1.6967e-03 -8.4724e-04  2.6235e-05  1.5788e-03
  486.7383  9.2106e-01  1.2866e-03 -2.6845e-04 -1.6593e-03  1.5452e-03
  486.7414  9.2400e-01  1.1708e-03 -1.7300e-03 -1.2431e-03  1.5937e-03
  486.7448  9.1625e-01  6.8237e-04  9.2018e-04  3.0862e-04  1.5843e-03
  486.7479  9.1896e-01 -4.5866e-04  3.7646e-03 -1.2927e-03  1.5344e-03
  486.7511  9.2299e-01  8.3635e-04 -1.4505e-03  7.9291e-04  1.5886e-03
  486.7544  9.2493e-01 -2.5149e-04  2.7044e-04  1.5720e-04  1.5953e-03
  486.7576  9.2310e-01  1.3563e-03 -1.9614e-03  1.5649e-03  1.5373e-03
  486.7608  9.2707e-01 -7.4049e-04  1.8465e-03  2.0085e-03  1.5775e-03
  486.7640  9.2450e-01  1.4615e-03  8.7940e-04  4.4773e-04  1.5914e-03
  486.7673  9.1679e-01  9.6211e-04 -3.2331e-04 -4.2542e-04  1.5447e-03
  486.7705  8.9780e-01  1.9414e-03 -1.6111e-03 -1.0822e-03  1.5361e-03
  486.7737  8.4019e-01 -6.2423e-04 -1.6673e-03 -5.2626e-04  1.5192e-03
  486.7770  7.4998e-01  1.0486e-03  4.5817e-05 -1.7760e-03  1.4283e-03
  486.7802  7.0601e-01 -2.9469e-04 -1.2831e-04 -1.3260e-03  1.3554e-03
  486.7834  7.4782e-01 -1.1617e-03  7.0440e-04 -5.4080e-04  1.4348e-03
  486.7867  8.0017e-01  4.0438e-04 -1.5078e-03 -3.3375e-03  1.4693e-03
  486.7898  8.4146e-01 -3.3008e-03  1.1333e-03  1.5676e-03  1.4583e-03
  486.7932  8.5702e-01 -8.6946e-04  1.7115e-03 -5.8118e-04  1.5180e-03
  486.7963  8.6576e-01 -1.6948e-03 -2.8143e-03  2.0408e-03  1.5309e-03
  486.7995  8.4318e-01  1.7109e-03 -6.1691e-04  8.5306e-04  1.4650e-03
  486.8028  7.9006e-01  8.4918e-04 -3.2021e-04  6.1505e-04  1.4471e-03
  486.8060  6.9369e-01 -8.5289e-04 -1.4866e-03 -2.2002e-04  1.3804e-03
  486.8092  5.6043e-01  8.5180e-06 -1.7356e-03  1.3579e-04  1.2245e-03
  486.8124  4.6588e-01  5.3319e-04 -1.9267e-03  9.7196e-04  1.1241e-03
  486.8156  4.8315e-01 -5.5551e-04 -2.6620e-04  3.9971e-04  1.1734e-03
  486.8189  6.1612e-01 -1.7160e-03 -4.5584e-04 -4.9144e-04  1.2705e-03
  486.8221  7.6785e-01  5.5558e-05  1.0930e-03 -6.9314e-04  1.3885e-03
  486.8253  8.5694e-01 -2.7392e-03  2.9304e-03  3.2744e-04  1.5117e-03
  486.8286  8.8939e-01 -2.1382e-03  3.7389e-04 -1.1716e-03  1.5362e-03
  486.8317  8.9396e-01 -3.5123e-04 -5.4143e-04  4.1697e-03  1.4921e-03
  486.8351  8.7640e-01 -2.0321e-03 -7.9774e-05 -1.1042e-03  1.5212e-03
  486.8382  8.5480e-01 -4.5211e-04  1.8122e-03 -1.4007e-03  1.5144e-03
  486.8414  8.3440e-01 -1.5180e-03 -7.0164e-04  6.8805e-04  1.4469e-03
  486.8447  7.7808e-01 -7.6252e-04 -2.7422e-03  1.0388e-03  1.4227e-03
  486.8479  6.5594e-01 -6.0467e-04 -4.7328e-04 -2.5015e-03  1.3316e-03
  486.8511  5.1504e-01  1.7443e-03 -1.0409e-03  4.4776e-04  1.1742e-03
  486.8543  4.8933e-01 -8.8862e-04  4.4272e-04  2.2649e-04  1.1415e-03
  486.8575  5.6434e-01 -3.8790e-04 -3.2120e-04 -1.4701e-03  1.2390e-03
  486.8608  5.9949e-01 -1.1849e-03  7.9502e-04  1.0686e-04  1.2589e-03
  486.8640  5.7670e-01  6.1005e-04  7.1691e-04 -1.2358e-03  1.2142e-03
  486.8672  5.8334e-01  9.7260e-04 -4.3274e-04 -1.8773e-03  1.2684e-03
  486.8705  6.5579e-01  1.7003e-03  5.5961e-04  4.5522e-04  1.3170e-03
  486.8736  7.6120e-01 -8.8113e-04 -7.4410e-06  6.4205e-04  1.3686e-03
  486.8770  8.5325e-01  5.3041e-05 -1.6274e-06 -8.1609e-05  1.4889e-03
  486.8801  8.9576e-01 -3.2959e-03  1.8379e-04 -1.8287e-03  1.5336e-03
  486.8833  9.0877e-01 -1.2655e-04 -5.1678e-05 -1.8099e-03  1.4941e-03
  486.8865  9.1441e-01  7.9908e-04 -1.5340e-03  1.8770e-03  1.5297e-03
  486.8897  9.1479e-01 -4.8799e-04  2.2961e-03  1.9693e-03  1.5455e-03
  486.8930  9.1682e-01 -8.1866e-04  6.7216e-04  7.1521e-04  1.5112e-03
  486.8962  9.1607e-01  4.7065e-05  9.9829e-04 -3.3166e-04  1.5081e-03
  486.8994  9.1916e-01 -1.7243e-03  5.0873e-04  8.1351e-04  1.5502e-03
  486.9026  9.1662e-01 -1.4931e-03  2.5691e-03 -9.9691e-04  1.5254e-03
  486.9059  9.2195e-01  1.7224e-03 -1.0267e-03 -1.5070e-03  1.4980e-03
  486.9090  9.2273e-01  2.3873e-03  5.0873e-04  8.9792e-04  1.5458e-03
  486.9124  9.1419e-01 -1.0405e-03 -7.3610e-04 -8.8500e-05  1.5356e-03
  486.9155  9.0055e-01 -1.3547e-03 -3.1358e-04  1.7062e-03  1.4736e-03
  486.9187  8.9004e-01  5.6384e-04 -3.4889e-04 -5.4777e-04  1.5135e-03
  486.9219  8.9202e-01 -4.2782e-03 -3.2573e-03 -2.4716e-03  1.5213e-03
  486.9252  9.0738e-01 -2.7433e-03  2.0065e-03 -7.7279e-04  1.4795e-03
  486.9284  9.1554e-01  5.2614e-04  1.4497e-03  1.6684e-03  1.5205e-03
  486.9316  9.1310e-01  1.9967e-03  2.8178e-04 -8.2755e-04  1.5325e-03
  486.9348  9.0045e-01  3.5211e-04 -1.2945e-04 -2.5677e-03  1.4897e-03
  486.9380  8.9388e-01  2.2492e-03  2.1844e-03  1.7392e-04  1.4823e-03
  486.9413  8.8557e-01 -2.6918e-04  2.3255e-03 -2.7586e-03  1.5119e-03
  486.9444  8.9364e-01  1.8253e-03 -9.7344e-04 -1.5667e-03  1.4931e-03
  486.9478  9.1110e-01 -6.2076e-05 -2.4204e-03 -1.9407e-03  1.4775e-03
  486.9509  9.2461e-01  5.7671e-04  2.3907e-04  2.4877e-03  1.5350e-03
  486.9541  9.3011e-01  3.1219e-03 -2.3379e-03  4.4031e-04  1.5381e-03
  486.9573  9.2662e-01  1.7734e-03 -5.6934e-04  2.7955e-04  1.4831e-03
  486.9605  9.1584e-01 -1.8869e-03 -9.8722e-04 -8.7025e-04  1.5224e-03
  486.9638  8.7657e-01  7.7305e-04  4.5455e-06 -2.9475e-04  1.4981e-03
  486.9670  8.0610e-01 -9.5289e-05  1.2062e-03  1.7051e-03  1.3899e-03
  486.9702  7.0411e-01 -9.5951e-04  1.0099e-03 -5.4469e-04  1.3358e-03
  486.9734  6.6099e-01 -8.9142e-04 -5.9551e-04 -1.5653e-03  1.3175e-03
  486.9767  7.1505e-01 -1.4215e-03  4.1084e-04  2.0886e-04  1.3174e-03
  486.9798  8.0585e-01 -1.2877e-03 -1.7282e-03 -5.0542e-04  1.4004e-03
  486.9831  8.6498e-01  6.3420e-04 -1.6478e-03 -6.6784e-04  1.4799e-03
  486.9863  8.9188e-01 -3.4238e-04  1.7000e-03 -1.2626e-05  1.4814e-03
  486.9895  9.1585e-01 -2.1763e-03 -1.3159e-03  9.3814e-04  1.4735e-03
